idA,idP,first_author
a6701723921,p138,False
a57202910211,p139,True
a57196421757,p139,False
a24402340500,p139,False
a55645613600,p140,True
a55546296200,p140,False
a55813139600,p140,False
a6603579157,p140,False
a28167695400,p140,False
a12142543700,p140,False
a57212950333,p140,False
a55945437600,p141,True
a7004277402,p141,False
a55911870000,p141,False
a9942259800,p141,False
a57215811083,p142,True
a17434035200,p142,False
a24726409500,p142,False
a35147940600,p142,False
a57191862517,p143,True
a23091904000,p143,False
a57208341600,p143,False
a53878508900,p143,False
a56363360200,p143,False
a56148594700,p143,False
a6602577617,p143,False
a36176552000,p143,False
a57207901363,p143,False
a57189244450,p144,True
a57211332837,p144,False
a8231832400,p144,False
a57192300416,p144,False
a6701454416,p144,False
a56196521900,p145,True
a35597296700,p145,False
a57202064143,p146,True
a57204597171,p146,False
a57192662939,p146,False
a57210982957,p146,False
a57204035623,p146,False
a57196952707,p146,False
a57196950804,p146,False
a57213874106,p146,False
a7402658393,p146,False
a56584019300,p147,True
a56714263700,p147,False
a8608718200,p147,False
a56680952700,p148,True
a7003498769,p148,False
a7202083837,p148,False
a57211891331,p149,True
a57199244740,p149,False
a7406665619,p149,False
a55588035200,p150,True
a6601908155,p150,False
a56102505100,p151,True
a57191620725,p151,False
a56819566000,p151,False
a8448666000,p151,False
a16178649400,p151,False
a35729129900,p152,True
a53866006800,p152,False
a56126031600,p152,False
a36538565900,p152,False
a57210585829,p152,False
a57203978933,p153,True
a57212415946,p153,False
a7403218372,p153,False
a6701720294,p153,False
a7005408810,p153,False
a57211516485,p153,False
a57205129154,p154,True
a7402370024,p154,False
a57203310052,p154,False
a18535712500,p154,False
a57193627694,p155,True
a7005513246,p155,False
a7004904337,p155,False
a35175200200,p156,True
a7005513246,p156,False
a6602198438,p157,True
a55948963100,p157,False
a7005411524,p157,False
a36459611200,p158,True
a7402074463,p158,False
a34868168700,p158,False
a7202083837,p159,True
a57126129700,p159,False
a36987999600,p159,False
a7003868048,p159,False
a57192247939,p160,True
a57218886153,p160,False
a6701777223,p160,False
a8448666000,p160,False
a57205617484,p161,True
a57215432728,p161,False
a8448666000,p161,False
a6701777223,p161,False
a57218886193,p161,False
a56677251600,p162,True
a57208598187,p162,False
a57211516485,p162,False
a7004307869,p162,False
a57205257595,p162,False
a55315026400,p163,True
