idA,name
a57194053456,Goates C B 
a56968013300,Calton M F 
a6701723921,Copley D C 
a57202910211,Smith R 
a57196421757,Rosen J 
a24402340500,Ventura D 
a55645613600,Sisodia S M 
a55546296200,Bull D J 
a6603579157,Gamstedt E K 
a28167695400,Mavrogordato M N 
a57212950333,Spearing S M 
a55945437600,Taus M 
a7004277402,Rodin G J 
a55911870000,Hughes T J R 
a57215811083,Searle H 
a17434035200,Gomes M A C 
a24726409500,Vilela J P 
a57191862517,Nyshadham C 
a23091904000,Rupp M 
a57208341600,Bekker B 
a53878508900,Shapeev A V 
a56363360200,Mueller T 
a56148594700,Rosenbrock C W 
a6602577617,Csányi G 
a36176552000,Wingate D W 
a57189244450,Kamminga J W 
a57211332837,Jones M 
a8231832400,Seppi K 
a57192300416,Meratnia N 
a6701454416,Havinga P J M 
a57202064143,Johnston J D 
a57204597171,Cowger A E 
a57192662939,Graul R J 
a57210982957,Nash R 
a57204035623,Tueller J A 
a57196952707,Hendrickson N R 
a57196950804,Robinson D R 
a57213874106,Beard J D 
a7402658393,Weber K S 
a56680952700,Josephson C 
a7003498769,Perrins E 
a55588035200,Ruoti S 
a6601908155,Seamons K 
a56102505100,Paré P E 
a57191620725,Grimsman D 
a56819566000,Wilson A T 
a16178649400,Warnick S 
a35729129900,Miao X 
a53866006800,Chu H 
a56126031600,Liu H 
a36538565900,Yang Y 
a57210585829,Li X 
a57203978933,Sargent B 
a57212415946,Brown N 
a57205129154,Pires dos Santos R 
a7402370024,Dean D L 
a57203310052,Weaver J M 
a57193627694,Ashcraft C C 
a35175200200,Shaikh M T 
a6602198438,Ogles B 
a55948963100,Aldous P 
a7005411524,Mercer E 
a36459611200,Bingham E 
a7402074463,Edward Gibson G 
a34868168700,El Asmar M 
a57126129700,Hogstrom C 
a57218886153,Stankovic A M 
a57205617484,Francis B L 
a57215432728,Nuttall J R 
a56677251600,Nelson T G 
a57208598187,Avila A 
a7004307869,Herder J L 
a57205257595,Machekposhti D F 
a36503632200,Candia G 
a16481299700,Mayoral J M 
a56331558100,Wood C M 
a47962305800,Montgomery J 
a7101640734,Hutchinson T 
a55916448500,Morales-Velez A C 
a57200363612,Fagergren F 
a57212151348,Sypherd S 
a57212147414,Snow D 
a57212136375,Cunningham A 
a57200529047,Neff C 
a56112492400,Nussbaum J 
a57215653879,Gardiner C 
a18937960700,Zunino J L 
a57216187696,Newton M 
a25627506700,Craddock T J A 
a57210477807,Fletcher M 
a7005345401,Klimas N G 
a7005976828,Broderick G 
a57192067288,Johnson C L 
a57202855772,Moss C D 
a57212089454,Amin M N 
a57202116348,Hamblin M 
a56709476900,Meena G G 
a57205025235,Brown O 
a57202256915,Hanson R 
a57193755486,Wood R L 
a57002749600,Robison R 
a57208584595,Roundtree K A 
a35546747200,Adams J A 
a57003496300,Swindlehurst E 
a57212110613,Jensen H 
a57216244800,Chang M -C F 
a7409253428,Wu J -T 
a7404504014,Chang M -C F 
a57144864700,Chen Y -F 
a57194205673,Lin C -S 
a35078644900,Hong C -F 
a57204475222,Sun C 
a8208317300,Lin H -H 
a55797091700,Zhao W 
a57204783601,Yang X 
a57192945685,Hu R 
a56939117000,Liu C 
a56585491000,Xuan J 
a16308483700,Xu Y 
a57200214703,Li T 
a35311157900,Liu B -F 
a55972769000,Li Y 
a36483856300,Yang Y 
a57194027885,Zhang Y 
a55345299700,Huang B 
a56110251000,Mardkhe M K 
a57208682307,Corie T H 
a57201589125,Raven L A 
a24779209500,Fernandes T 
a56012631600,Wang T 
a56487893500,Sidhar H 
a7402648240,Mishra R S 
a57200884469,Upadhyay P 
a57203221999,Carlson B 
a6603570606,Shoemaker G 
a57203028829,Schultz S 
a56824897200,Nielsen J 
a57210916608,Wynn J S 
a57210911049,Bidstrup C C 
a57207008616,Moore J J 
a56315330500,Woodbury N 
a55858031100,Wood A E 
a57211493546,Wilson A E 
a57205881788,Baker M J 
a57214032187,Baker W H 
a57208524360,Hanks K N 
a26634229600,Richards P W 
a7005934389,Randall G C 
a57208823236,Hansen K R 
a57190605478,Jackson B 
a35508257500,Long D G 
a8321530600,Brodzik M J 
a7005709969,Hardman M A 
a57208255032,Badger J C 
a15848771600,Lang R J 
a57199980412,Guo C 
a55475654800,Zhao D 
a43961414900,Ridge S T 
a9041055700,Remund K 
a57191156976,Hammond A M 
a57209978209,Potokar E 
a57118455800,Liu F C 
a7401431037,Nelson T W 
a24401574900,McCracken S L 
a57201432287,Li X 
a7003498548,Sederberg T W 
a57207334294,Adams D W 
a26641352100,Saftner D A 
a23569552400,Farnsworth C B 
a36769181100,Retherford J 
a56976354400,Okeson T J 
a57209659294,Barrett B J 
a57209655847,Arce S 
a57204570329,Vernon C A 
a57210191104,Derricott J 
a57214009254,Peterson C 
a57217482839,Allen B C 
a57209640119,Ellingson J 
a57210919648,Jain P 
a57210912098,Farrell M 
a57206968876,Jackson J 
a57205198823,Hutchings N 
a57210927548,Dutson J 
a57210928665,Allen D 
a6602572190,Eggett D 
a57210914089,Akagi J 
a57203981655,Moon B 
a57210920448,Chen X 
a57202433366,Robles V D 
a56724258600,Khajah T 
a7801676127,Villamizar V 
a57194391871,Blackburn L 
a57189491950,Young A 
a57205348362,Rogers P 
