idA,name
a57205589719,Wang H 
a8725937600,Wisco J 
a57125618000,Nash C 
a57195419580,Rahmati M 
a57200206650,Howarth J 
a57200203866,DeYoung J 
a57200201882,Hosler T 
a57200201106,Harper C 
a57200819002,Butler M 
a57200201511,Williams T 
a57189243866,Allen J T 
a57197765649,Hirschi E 
a57195290099,Sperry R 
a57191918589,Stoddard A 
a57191921086,Gruwell A 
a57191923986,Zabriskie P 
a7004848095,Turley R S 
a57196471974,Thomas S M 
a57196475822,Willett S G 
a57196468765,Greenburg M J 
a57192318731,Perry S B 
a55660173800,McClelland H G 
a57193903292,Kang C K 
a6701876192,Woolsey C A 
a57193902758,Roberts A K 
a57193895552,Buck D 
a57193900229,Cheney T 
a57208928114,Frustaci J B 
a55354928800,Heath D 
a57195720669,Ngo K 
a57195718233,Thameem M 
a57190859038,Peterson M W 
a57203222139,Webber T 
a56156055700,Shishavan R A 
a57200576069,Sayre A 
a10540655600,Frankman D 
a36924577900,Baxter A 
a55541477400,Stitt K 
a56559677100,Ekstrom L T 
a57194576753,He J 
a57213582934,Harrington M 
a24824356000,Kochenderfer M J 
a56559765400,Fredrickson A 
a23009691800,Nicks J 
a57191416025,Mojica J L 
a57192545746,Petersen D 
a57192573362,Hansen B 
a6701925700,Jellen E N 
a56299790500,Jackson E W 
a7003959730,Maughan P J 
a57201704300,Wang Y 
a57171695300,Fry A 
a7101671848,Wendt J O L 
a57200204063,Hopkins E 
a56559548600,Holland T 
a57200200833,Billings B 
a57200207993,Roberts M 
a56748981000,Tolman S S 
a56577146500,Ma F 
a57188764210,Bai R 
a55632390400,Nevers D R 
a35489877400,Brushett F R 
a57203030537,Wheeler D R 
a56800225200,Marr K M 
a37052385600,Leake K D 
a13410345300,Gallagher H L 
a55693760600,Harker B M 
a57194853790,Cook M R 
a35578275000,McKinley R L 
a26658095100,Gonzalez-Juez E D 
a56362659400,Dasgupta A 
a57193867023,Arshad S 
a56913378600,Skousen D J 
a56086163900,Jones K N 
a57191407630,Kowalski T 
a57201909948,Tiwari R 
a35344727500,Jain P 
a35408719100,Butail S 
a55807632000,Baliyarasimhuni S P 
a57194116428,Scott E 
a55932655400,Marsh A 
a6701753933,Jüttler B 
a55722439300,Qian X 
a6507743831,Barker E I 
a8624941100,Sun X 
a57202394793,Harris R 
a56587519900,Major J 
a12797217700,Zentner L 
a6602247507,Corves B 
a25628175700,Lovasz E -C 
a57209165874,Nguyen T 
a7202842875,Shao L 
a57193807582,Bender C 
a57194008450,Wolfe D 
a57193811936,Reimschiissel B 
a26538762200,Sabau S 
a7003702751,Oara C 
a9636293200,Jadbabaie A 
a57202040530,Mancini S 
a23006267900,Parness A 
a7004002400,Chee P W 
a7202361029,Paterson A H 
a7007170899,Udall J A 
a7005725911,Wendel J F 
a56024800300,Liu L 
a57203269936,Glorieux C 
a57192908187,Ravert J 
a6603263001,Cole-Rhodes A 
a26325009000,Moazzami F 
a57200730646,Busuttil P 
a56316070300,Yuan Y 
a37057761700,Rai A 
a16053936800,Stan G -B 
a56830082600,Goncalves J 
a7401698226,Allen B L 
a8702836000,Anapalli S 
a7005306331,Blackshaw R E 
a7102554886,Lyon D J 
a35854537900,Machado S 
